PassengerID,TrainName,Name,Gender,Age,Profession,Class,TicketPrice,TrainCar,SeatNumber,MaritalStatus,NumberOfChildren,CompanionCount,BaggageWeight,MealPreference,Station,ArrivalTime,DepartureTime,who,FamilySize
2681,Shalimar Express,Ali Fahad Chaudhry,Female,30,Police Officer,Economy,6888,Coach-6,S-2,Single,0,0,20.96,Daal Chaawal,Lahore Jn.,-,6:15,Female,0
2682,Shalimar Express,Noor Asghar Sheikh,Male,57,Artist,Economy,3588,Coach-19,S-62,Single,1,4,15.43,Biryani,Mir Pur Mathelo,20:47,20:49,Male,5
2683,Shalimar Express,Hira Murtaza Qureshi,Female,77,Artist,AC Business,6888,Coach-19,S-41,Married,3,3,12.74,Biryani,Gagoo,12:38,12:40,Female,7
2684,Shalimar Express,Sara Nawaz Sheikh,Male,39,Businessperson,AC Business,6888,Coach-13,S-90,Single,4,4,44.71,Biryani,Hyderabad Jn,4:50,5:00,Male,8
2685,Shalimar Express,Ahmed Asghar Khan,Male,38,Farmer,AC Business,6888,Coach-14,S-80,Married,3,4,35.3,Biryani,Padidan,1:04,1:06,Male,8
2686,Shalimar Express,Zain Nawaz Butt,Male,75,Lawyer,AC Business,3588,Coach-2,S-37,Single,3,4,19.96,Karahi,Tando Adam,3:56,3:58,Male,7
2687,Shalimar Express,Zain Jamal Chaudhry,Female,65,Engineer,Economy,6888,Coach-2,S-79,Single,0,1,12.24,Daal Chaawal,Kanganpur,9:21,9:23,Female,1
2688,Shalimar Express,Hira Raza Khan,Male,59,Artist,Economy,6888,Coach-10,S-92,Married,4,4,20.07,Nihari,Karore Pakka,15:10,15:15,Male,9
2689,Shalimar Express,Zain Saeed Siddiqui,Female,17,Businessperson,Economy,6888,Coach-7,S-15,Married,4,4,41.13,Paratha Roll,Lodhran Jn.,15:57,15:59,Child,9
2690,Shalimar Express,Ali Jamal Jutt,Male,41,Soldier,AC Business,3588,Coach-20,S-13,Single,1,2,34.85,Biryani,Lodhran Jn.,15:57,15:59,Male,3
2691,Shalimar Express,Hira Jamal Rana,Female,30,Doctor,Economy,6888,Coach-3,S-21,Married,0,1,15.65,Karahi,Gagoo,12:38,12:40,Female,2
2692,Shalimar Express,Ahmed Murtaza Chaudhry,Female,61,Engineer,AC Business,3588,Coach-8,S-24,Married,1,2,14.81,Daal Chaawal,Haveli Wasawewala,10:30,10:32,Female,4
2693,Shalimar Express,Bilal Hussain Bhatti,Female,32,Doctor,AC Business,3588,Coach-11,S-11,Single,0,1,37.25,Karahi,Walton,6:32,6:34,Female,1
2694,Shalimar Express,Ali Iqbal Sheikh,Female,11,Lawyer,AC Business,3588,Coach-18,S-27,Married,0,0,44.25,Karahi,Vihari,13:35,13:40,Child,1
2695,Shalimar Express,Ali Iqbal Butt,Female,66,Doctor,AC Business,3588,Coach-8,S-99,Married,2,1,39.35,Paratha Roll,Hyderabad Jn,4:50,5:00,Female,4
2696,Shalimar Express,Ali Raza Chaudhry,Male,56,Soldier,AC Business,6888,Coach-5,S-93,Single,4,2,39.78,Paratha Roll,Basirpur,10:03,10:05,Male,6
2697,Shalimar Express,Sara Rizwan Bhatti,Male,40,Engineer,Economy,3588,Coach-20,S-93,Single,3,0,30.33,Daal Chaawal,Walton,6:32,6:34,Male,3
2698,Shalimar Express,Ayesha Nawaz Bhatti,Male,74,Businessperson,AC Business,6888,Coach-12,S-25,Single,0,4,25.16,Karahi,Ghotki,21:21,21:23,Male,4
2699,Shalimar Express,Noor Hussain Qureshi,Male,59,Artist,Economy,3588,Coach-10,S-90,Married,4,4,46.81,Karahi,Mir Pur Mathelo,20:47,20:49,Male,9
2700,Shalimar Express,Sara Asghar Bhatti,Male,40,Engineer,AC Business,3588,Coach-9,S-17,Single,1,2,41.04,Paratha Roll,Jamrani Wah,15:37,15:39,Male,3
2701,Shalimar Express,Hira Saeed Butt,Female,24,Student,AC Business,6888,Coach-17,S-93,Single,0,1,36.55,Biryani,Lodhran Jn.,15:57,15:59,Female,1
2702,Shalimar Express,Fatima Iqbal Khan,Female,68,Doctor,Economy,6888,Coach-15,S-56,Single,0,0,33.15,Biryani,Lodhran Jn.,15:57,15:59,Female,0
2703,Shalimar Express,Zain Jamal Bhatti,Male,,Artist,AC Business,6888,Coach-19,S-3,Married,1,1,26.45,Paratha Roll,Kot Lakhpat,6:43,6:45,Male,3
2704,Shalimar Express,Hira Nawaz Sheikh,Male,13,Doctor,Economy,6888,Coach-5,S-11,Single,4,0,23.37,Paratha Roll,Walton,6:32,6:34,Child,4
2705,Shalimar Express,Ahmed Saeed Sheikh,Female,6,Soldier,AC Business,6888,Coach-1,S-36,Single,2,0,12.86,Nihari,Hyderabad Jn,4:50,5:00,Child,2
2706,Shalimar Express,Amir Hussain Malik,Female,50,Police Officer,Economy,3588,Coach-4,S-95,Single,0,2,38.47,Karahi,Kot Lakhpat,6:43,6:45,Female,2
2707,Shalimar Express,Ali Jamal Chaudhry,Male,74,Lawyer,AC Business,6888,Coach-17,S-35,Single,0,2,19.55,Biryani,Karore Pakka,15:10,15:15,Male,2
2708,Shalimar Express,Zain Rizwan Bhatti,Female,14,Soldier,Economy,3588,Coach-8,S-32,Married,4,4,47.37,Daal Chaawal,Kasur Jn.,7:40,8:20,Child,9
2709,Shalimar Express,Bilal Iqbal Khan,Female,21,Businessperson,Economy,6888,Coach-19,S-19,Married,3,3,15.8,Paratha Roll,Raiwind Jn.,7:10,7:15,Female,7
2710,Shalimar Express,Hira Murtaza Khan,Male,63,Soldier,AC Business,6888,Coach-13,S-44,Single,4,4,16.75,Biryani,Kotri Jn.,5:22,5:24,Male,8
2711,Shalimar Express,Amir Raza Jutt,Male,18,Teacher,Economy,6888,Coach-17,S-34,Married,4,0,26.05,Daal Chaawal,Basirpur,10:03,10:05,Male,5
2712,Shalimar Express,Amir Saeed Chaudhry,Female,50,Artist,Economy,3588,Coach-19,S-10,Single,2,0,18.51,Daal Chaawal,Kotri Jn.,5:22,5:24,Female,2
2713,Shalimar Express,Noor Iqbal Siddiqui,Male,48,Lawyer,Economy,3588,Coach-4,S-58,Married,1,2,44.49,Daal Chaawal,Pakpattan,11:20,11:35,Male,4
2714,Shalimar Express,Ahmed Asghar Qureshi,Female,71,Student,Economy,6888,Coach-7,S-37,Single,4,3,21.24,Biryani,Shahdad Pur,3:27,3:29,Female,7
2715,Shalimar Express,Ahmed Asghar Siddiqui,Male,75,Artist,Economy,6888,Coach-4,S-28,Married,0,4,14.91,Karahi,Landhi Jn.,7:10,7:12,Male,5
2716,Shalimar Express,Fatima Rizwan Qureshi,Female,19,Soldier,Economy,6888,Coach-15,S-33,Married,2,2,10.35,Daal Chaawal,Khanpur Jn.,18:55,19:00,Female,5
2717,Shalimar Express,Amir Fahad Sheikh,Male,54,Farmer,Economy,3588,Coach-17,S-54,Single,4,2,24.21,Biryani,Nur Shah,14:03,14:05,Male,6
2718,Shalimar Express,Ahmed Raza Butt,Female,72,Engineer,Economy,6888,Coach-20,S-76,Married,0,3,36.14,Nihari,Padidan,1:04,1:06,Female,4
2719,Shalimar Express,Ayesha Jamal Qureshi,Male,31,Engineer,Economy,3588,Coach-4,S-35,Single,1,,30.83,Karahi,Mahrabpur,0:11,0:13,Male,2
2720,Shalimar Express,Sara Raza Siddiqui,Female,47,Teacher,Economy,3588,Coach-5,S-99,Single,2,1,14.19,Biryani,Lodhran Jn.,15:57,15:59,Female,3
2721,Shalimar Express,Ali Hussain Butt,Female,77,Doctor,AC Business,6888,Coach-12,S-7,Married,1,1,28.88,Karahi,Pakpattan,11:20,11:35,Female,3
2722,Shalimar Express,Ayesha Rizwan Qureshi,Female,5,Teacher,AC Business,6888,Coach-5,S-95,Married,1,4,24,Karahi,Basirpur,10:03,10:05,Child,6
2723,Shalimar Express,Ayesha Asghar Bhatti,Male,29,Doctor,AC Business,3588,Coach-18,S-64,Single,1,2,20.65,Daal Chaawal,Sadikabad,19:54,19:56,Male,3
2724,Shalimar Express,Fatima Murtaza Sheikh,Female,68,Farmer,AC Business,6888,Coach-10,S-57,Single,0,2,40.25,Biryani,Tando Adam,3:56,3:58,Female,2
2725,Shalimar Express,Ali Rizwan Sheikh,Male,77,Artist,Economy,6888,Coach-11,S-83,Married,1,1,39.04,Karahi,Bahawalpur,16:20,16:25,Male,3
2726,Shalimar Express,Zain Raza Bhatti,Male,7,Businessperson,Economy,6888,Coach-2,S-64,Married,3,3,20.57,Nihari,Khudian,8:45,8:47,Child,7
2727,Shalimar Express,Noor Nawaz Sheikh,Female,8,Farmer,Economy,6888,Coach-13,S-38,Married,0,3,30.92,Paratha Roll,Nawabshah Jn.,2:26,2:28,Child,4
2728,Shalimar Express,Ali Fahad Chaudhry,Male,79,Soldier,Economy,6888,Coach-10,S-53,Married,1,0,47.84,Daal Chaawal,Mailsi,14:25,14:30,Male,2
2729,Shalimar Express,Fatima Murtaza Bhatti,Female,69,Soldier,Economy,3588,Coach-14,S-72,Married,4,2,19.12,Paratha Roll,Samasata Jn.,16:40,17:05,Female,7
2730,Shalimar Express,Zain Nawaz Khan,Male,42,Businessperson,Economy,6888,Coach-1,S-96,Married,3,0,42.55,Daal Chaawal,Sadikabad,19:54,19:56,Male,4
2731,Shalimar Express,Sara Raza Chaudhry,Female,48,Artist,Economy,6888,Coach-14,S-17,Married,2,3,49.4,Paratha Roll,Machhian Wala,13:15,13:17,Female,6
2732,Shalimar Express,Bilal Saeed Bhatti,Female,7,Student,AC Business,3588,Coach-12,S-65,Single,3,0,35.61,Paratha Roll,Kotri Jn.,5:22,5:24,Child,3
2733,Shalimar Express,Amir Raza Qureshi,Male,78,Doctor,Economy,3588,Coach-2,S-94,Single,0,1,19.55,Nihari,Khudian,8:45,8:47,Male,1
2734,Shalimar Express,Sara Jamal Rana,Female,26,Artist,AC Business,3588,Coach-6,S-48,Married,3,2,17.66,Karahi,Vihari,13:35,13:40,Female,6
2735,Shalimar Express,Hira Jamal Qureshi,Female,16,Artist,AC Business,6888,Coach-6,S-4,Married,4,3,42.68,Biryani,Hyderabad Jn,4:50,5:00,Child,8
2736,Shalimar Express,Ayesha Raza Bhatti,Male,64,Teacher,Economy,6888,Coach-13,S-6,Married,4,3,20.28,Karahi,Usmanwala,8:58,9:00,Male,8
2737,Shalimar Express,Fatima Asghar Bhatti,Male,36,Police Officer,Economy,3588,Coach-17,S-88,Married,0,0,31.13,Paratha Roll,Sadikabad,19:54,19:56,Male,1
2738,Shalimar Express,Ali Asghar Siddiqui,Male,72,Lawyer,AC Business,3588,Coach-9,S-55,Married,4,0,11.86,Daal Chaawal,Khudian,8:45,8:47,Male,5
2739,Shalimar Express,Amir Murtaza Khan,Female,19,Doctor,AC Business,6888,Coach-15,S-73,Single,3,4,37.41,Daal Chaawal,Samasata Jn.,16:40,17:05,Female,7
2740,Shalimar Express,Ali Hussain Butt,Female,26,Businessperson,Economy,6888,Coach-20,S-58,Married,2,4,34.9,Daal Chaawal,Murad Chishti,11:53,11:55,Female,7
2741,Shalimar Express,Hira Hussain Siddiqui,Male,65,Soldier,AC Business,6888,Coach-10,S-100,Single,1,2,15.14,Nihari,Mandi Ahmadabad,9:41,9:43,Male,3
2742,Shalimar Express,Noor Murtaza Rana,Female,37,Farmer,AC Business,6888,Coach-18,S-29,Single,4,4,32.15,Nihari,Walton,6:32,6:34,Female,8
2743,Shalimar Express,Ali Hussain Sheikh,Female,39,Artist,Economy,6888,Coach-6,S-74,Married,4,2,35.05,Karahi,Ghotki,21:21,21:23,Female,7
2744,Shalimar Express,Hira Raza Bhatti,Male,21,Lawyer,Economy,3588,Coach-2,S-77,Single,1,3,17.72,Biryani,Padidan,1:04,1:06,Male,4
2745,Shalimar Express,Ayesha Asghar Siddiqui,Female,48,Student,Economy,3588,Coach-13,S-82,Married,2,4,28.65,Nihari,Basirpur,10:03,10:05,Female,7
2746,Shalimar Express,Zain Rizwan Chaudhry,Female,22,Teacher,Economy,3588,Coach-20,S-23,Single,1,3,45.81,Daal Chaawal,Khanpur Jn.,18:55,19:00,Female,4
2747,Shalimar Express,Fatima Jamal Bhatti,Male,44,Doctor,AC Business,6888,Coach-4,S-86,Single,0,0,44.45,Daal Chaawal,Usmanwala,8:58,9:00,Male,0
2748,Shalimar Express,Ali Hussain Siddiqui,Female,56,Soldier,Economy,6888,Coach-1,S-71,Single,3,0,43.01,Paratha Roll,Dera Nawab Sahib,17:43,17:45,Female,3
2749,Shalimar Express,Ayesha Raza Chaudhry,Male,67,Farmer,Economy,6888,Coach-14,S-60,Single,3,2,31.77,Karahi,Mir Pur Mathelo,20:47,20:49,Male,5
2750,Shalimar Express,Ali Iqbal Sheikh,Female,35,Lawyer,AC Business,3588,Coach-15,S-60,Single,3,1,18.31,Biryani,Haveli Wasawewala,10:30,10:32,Female,4
2751,Shalimar Express,Fatima Asghar Khan,Female,33,Student,Economy,3588,Coach-10,S-68,Single,1,3,45.24,Biryani,Tando Adam,3:56,3:58,Female,4
2752,Shalimar Express,Zain Nawaz Butt,Female,10,Lawyer,Economy,6888,Coach-5,S-77,Single,1,4,47.07,Karahi,Walton,6:32,6:34,Child,5
2753,Shalimar Express,Fatima Nawaz Malik,Female,73,Teacher,AC Business,3588,Coach-9,S-20,Married,4,1,44.77,Karahi,Arif Wala,12:10,12:15,Female,6
2754,Shalimar Express,Amir Raza Sheikh,Male,76,Police Officer,Economy,6888,Coach-11,S-21,Single,3,1,40.89,Biryani,Mandi Burewala,12:55,13:00,Male,4
2755,Shalimar Express,Ali Fahad Bhatti,Male,74,Student,Economy,6888,Coach-9,S-26,Married,1,2,49.09,Daal Chaawal,Mubarakpur,17:25,17:27,Male,4
2756,Shalimar Express,Hira Raza Qureshi,Female,37,Police Officer,Economy,6888,Coach-5,S-6,Single,3,1,18.44,Daal Chaawal,Machhian Wala,13:15,13:17,Female,4
2757,Shalimar Express,Fatima Iqbal Butt,Male,46,Doctor,AC Business,6888,Coach-10,S-44,Single,2,1,33.47,Nihari,Rahim Yar Khan,19:32,19:34,Male,3
2758,Shalimar Express,Bilal Fahad Rana,Male,46,Police Officer,AC Business,3588,Coach-3,S-67,Single,2,1,38.88,Nihari,Mir Pur Mathelo,20:47,20:49,Male,3
2759,Shalimar Express,Hira Saeed Malik,Male,70,Engineer,Economy,3588,Coach-14,S-70,Married,0,0,25.6,Karahi,Mandi Burewala,12:55,13:00,Male,1
2760,Shalimar Express,Ali Rizwan Siddiqui,Female,10,Artist,Economy,6888,Coach-18,S-7,Married,2,1,10.87,Daal Chaawal,Mandi Burewala,12:55,13:00,Child,4
2761,Shalimar Express,Hira Nawaz Khan,Male,27,Teacher,Economy,6888,Coach-9,S-69,Single,4,1,16.41,Biryani,Gagoo,12:38,12:40,Male,5
2762,Shalimar Express,Hira Rizwan Qureshi,Male,31,Artist,Economy,6888,Coach-9,S-45,Married,2,0,23,Daal Chaawal,Liaquatpur,18:16,18:18,Male,3
2763,Shalimar Express,Ali Nawaz Butt,Male,25,Soldier,Economy,6888,Coach-3,S-2,Married,4,0,26.75,Paratha Roll,Tando Adam,3:56,3:58,Male,5
2764,Shalimar Express,Bilal Nawaz Chaudhry,Male,68,Teacher,Economy,6888,Coach-7,S-68,Married,0,0,47.59,Karahi,Tando Adam,3:56,3:58,Male,1
2765,Shalimar Express,Ali Hussain Malik,Male,22,Engineer,Economy,6888,Coach-17,S-64,Married,4,4,30.79,Daal Chaawal,Nawabshah Jn.,2:26,2:28,Male,9
2766,Shalimar Express,Fatima Asghar Sheikh,Male,45,Police Officer,Economy,3588,Coach-20,S-99,Single,2,4,39.24,Biryani,Bhiria Road,0:44,0:46,Male,6
2767,Shalimar Express,Bilal Jamal Siddiqui,Female,39,Student,Economy,6888,Coach-15,S-54,Single,1,3,47.26,Nihari,Ghotki,21:21,21:23,Female,4
2768,Shalimar Express,Ayesha Murtaza Bhatti,Female,27,Businessperson,Economy,3588,Coach-20,S-78,Married,0,,11.27,Paratha Roll,Padidan,1:04,1:06,Female,5
2769,Shalimar Express,Sara Fahad Malik,Male,64,Teacher,AC Business,3588,Coach-7,S-5,Married,0,1,23.23,Biryani,Rahim Yar Khan,19:32,19:34,Male,2
2770,Shalimar Express,Ali Jamal Khan,Female,76,Student,AC Business,3588,Coach-18,S-7,Single,4,1,17.82,Biryani,Kasur Jn.,7:40,8:20,Female,5
2771,Shalimar Express,Fatima Hussain Jutt,Female,38,Police Officer,AC Business,3588,Coach-19,S-19,Single,1,3,29.43,Karahi,Kotri Jn.,5:22,5:24,Female,4
2772,Shalimar Express,Hira Murtaza Rana,Female,59,Doctor,Economy,3588,Coach-1,S-38,Single,2,2,17.27,Paratha Roll,Gagoo,12:38,12:40,Female,4
2773,Shalimar Express,Ayesha Murtaza Butt,Female,66,Artist,Economy,6888,Coach-6,S-10,Single,2,1,47.71,Biryani,Mailsi,14:25,14:30,Female,3
2774,Shalimar Express,Ali Jamal Malik,Male,78,Student,Economy,6888,Coach-1,S-25,Single,3,1,17.7,Karahi,Bahawalpur,16:20,16:25,Male,4
2775,Shalimar Express,Ali Raza Siddiqui,Female,72,Lawyer,AC Business,6888,Coach-7,S-34,Married,2,4,11.4,Karahi,Mandi Burewala,12:55,13:00,Female,7
2776,Shalimar Express,Fatima Rizwan Chaudhry,Male,60,Student,AC Business,6888,Coach-1,S-33,Married,4,,41.72,Daal Chaawal,Raiwind Jn.,7:10,7:15,Male,8
2777,Shalimar Express,Sara Jamal Butt,Male,46,Farmer,AC Business,3588,Coach-7,S-33,Single,3,0,42.14,Karahi,Arif Wala,12:10,12:15,Male,3
2778,Shalimar Express,Ali Murtaza Qureshi,Male,28,Teacher,Economy,6888,Coach-6,S-77,Single,3,1,38.33,Karahi,Karore Pakka,15:10,15:15,Male,4
2779,Shalimar Express,Noor Hussain Malik,Male,71,Artist,AC Business,3588,Coach-11,S-59,Single,3,1,10.57,Paratha Roll,,6:43,6:45,Male,4
2780,Shalimar Express,Zain Asghar Chaudhry,Female,68,Soldier,Economy,3588,Coach-15,S-8,Married,3,4,49.12,Paratha Roll,Hyderabad Jn,4:50,5:00,Female,8
2781,Shalimar Express,Ali Hussain Chaudhry,Male,64,Engineer,AC Business,6888,Coach-15,S-5,Married,1,4,32.48,Paratha Roll,Tando Adam,3:56,3:58,Male,6
2782,Shalimar Express,Ahmed Hussain Khan,Male,65,Engineer,Economy,6888,Coach-8,S-75,Married,2,4,26.52,Daal Chaawal,Drigh Road,7:38,7:40,Male,7
2783,Shalimar Express,Ayesha Saeed Bhatti,Male,29,Businessperson,Economy,6888,Coach-14,S-20,Married,3,0,12.46,Nihari,Hyderabad Jn,4:50,5:00,Male,4
2784,Shalimar Express,Ahmed Iqbal Sheikh,Male,77,Lawyer,Economy,6888,Coach-1,S-36,Married,2,1,14.6,Nihari,Jamrani Wah,15:37,15:39,Male,4
2785,Shalimar Express,Ali Rizwan Siddiqui,Male,52,Businessperson,Economy,6888,Coach-14,S-11,Single,1,0,47.3,Nihari,Liaquatpur,18:16,18:18,Male,1
2786,Shalimar Express,Ali Saeed Siddiqui,Female,23,Police Officer,Economy,6888,Coach-11,S-51,Single,2,4,21.31,Nihari,Khudian,8:45,8:47,Female,6
2787,Shalimar Express,Noor Nawaz Butt,Female,18,Teacher,Economy,3588,Coach-13,S-70,Married,4,1,39.75,Paratha Roll,Padidan,1:04,1:06,Female,6
2788,Shalimar Express,Ali Asghar Bhatti,Male,60,Lawyer,AC Business,6888,Coach-14,S-18,Married,3,2,29.71,Karahi,Haveli Wasawewala,10:30,10:32,Male,6
2789,Shalimar Express,Bilal Rizwan Sheikh,Female,26,Doctor,Economy,3588,Coach-10,S-95,Married,0,4,18.11,Paratha Roll,Mir Pur Mathelo,20:47,20:49,Female,5
2790,Shalimar Express,Hira Hussain Butt,Female,64,Police Officer,AC Business,3588,Coach-15,S-12,Single,4,4,45.13,Karahi,Basirpur,10:03,10:05,Female,8
2791,Shalimar Express,Bilal Iqbal Qureshi,Female,19,Student,AC Business,3588,Coach-11,S-58,Single,0,2,21.94,Nihari,Landhi Jn.,7:10,7:12,Female,2
2792,Shalimar Express,Ahmed Murtaza Jutt,Female,6,Lawyer,AC Business,6888,Coach-8,S-47,Married,3,4,20.27,Karahi,Raiwind Jn.,7:10,7:15,Child,8
2793,Shalimar Express,Hira Iqbal Siddiqui,Female,64,Teacher,AC Business,3588,Coach-14,S-66,Single,4,4,15.43,Karahi,Mahrabpur,0:11,0:13,Female,8
2794,Shalimar Express,Ali Saeed Khan,Female,27,Lawyer,AC Business,3588,Coach-12,S-77,Married,1,4,20.04,Karahi,Kanganpur,9:21,9:23,Female,6
2795,Shalimar Express,Ayesha Asghar Butt,Male,55,Teacher,Economy,3588,Coach-17,S-36,Single,1,0,33.15,Biryani,Sadikabad,19:54,19:56,Male,1
2796,Shalimar Express,Ahmed Fahad Bhatti,Male,8,Soldier,AC Business,6888,Coach-5,S-64,Single,1,3,27.6,Daal Chaawal,Mandi Ahmadabad,9:41,9:43,Child,4
2797,Shalimar Express,Hira Raza Qureshi,Female,25,Soldier,Economy,3588,Coach-15,S-86,Married,4,3,39.84,Biryani,Tando Adam,3:56,3:58,Female,8
2798,Shalimar Express,Bilal Jamal Sheikh,Male,48,Businessperson,Economy,3588,Coach-10,S-69,Married,4,4,24.42,Nihari,Shahdad Pur,3:27,3:29,Male,9
2799,Shalimar Express,Ahmed Iqbal Bhatti,Male,7,Student,AC Business,3588,Coach-19,S-1,Married,0,1,44,Biryani,Mailsi,14:25,14:30,Child,2
2800,Shalimar Express,Sara Asghar Chaudhry,Female,51,Police Officer,AC Business,6888,Coach-19,S-72,Single,1,1,49.49,Karahi,Karore Pakka,15:10,15:15,Female,2
2801,Shalimar Express,Hira Asghar Sheikh,Male,23,Doctor,AC Business,6888,Coach-12,S-57,Married,2,0,34.28,Karahi,Kot Lakhpat,6:43,6:45,Male,3
2802,Shalimar Express,Hira Raza Butt,Female,76,Student,AC Business,3588,Coach-10,S-65,Single,3,0,21.23,Daal Chaawal,Sadikabad,19:54,19:56,Female,3
2803,Shalimar Express,Ahmed Rizwan Malik,Female,23,Student,AC Business,6888,Coach-5,S-43,Single,1,1,19.2,Daal Chaawal,Karore Pakka,15:10,15:15,Female,2
2804,Shalimar Express,Fatima Nawaz Butt,Female,75,Artist,AC Business,6888,Coach-6,S-92,Single,0,0,14.41,Daal Chaawal,Karore Pakka,15:10,15:15,Female,0
2805,Shalimar Express,Ahmed Rizwan Sheikh,Female,59,Engineer,Economy,3588,Coach-3,S-9,Single,4,1,23.51,Daal Chaawal,Sadikabad,19:54,19:56,Female,5
2806,Shalimar Express,Fatima Raza Chaudhry,Male,43,Student,Economy,3588,Coach-3,S-49,Married,4,2,34.88,Daal Chaawal,Arif Wala,12:10,12:15,Male,7
2807,Shalimar Express,Amir Saeed Khan,Male,64,Teacher,AC Business,3588,Coach-11,S-27,Single,4,3,45.47,Biryani,Dera Nawab Sahib,17:43,17:45,Male,7
2808,Shalimar Express,Bilal Saeed Khan,Female,65,Businessperson,AC Business,6888,Coach-15,S-13,Single,2,3,41.75,Paratha Roll,Nur Shah,14:03,14:05,Female,5
2809,Shalimar Express,Noor Murtaza Khan,Male,68,Doctor,Economy,6888,Coach-19,S-42,Married,3,2,17.92,Karahi,Hyderabad Jn,4:50,5:00,Male,6
2810,Shalimar Express,Bilal Raza Jutt,Male,63,Police Officer,AC Business,3588,Coach-18,S-29,Single,4,4,17.13,Paratha Roll,Mahrabpur,0:11,0:13,Male,8
2811,Shalimar Express,Hira Jamal Khan,Female,21,Soldier,AC Business,3588,Coach-15,S-66,Married,3,0,46.51,Nihari,Karore Pakka,15:10,15:15,Female,4
2812,Shalimar Express,Bilal Fahad Khan,Male,17,Police Officer,AC Business,6888,Coach-13,S-9,Married,4,3,48.02,Paratha Roll,Landhi Jn.,7:10,7:12,Child,8
2813,Shalimar Express,Hira Fahad Bhatti,Female,20,Farmer,AC Business,6888,Coach-4,S-26,Married,2,0,40.35,Karahi,Pakpattan,11:20,11:35,Female,3
2814,Shalimar Express,Amir Iqbal Chaudhry,Female,62,Engineer,AC Business,3588,Coach-13,S-20,Married,3,3,41.8,Biryani,Raiwind Jn.,7:10,7:15,Female,7
2815,Shalimar Express,Ali Saeed Malik,Male,21,Student,AC Business,3588,Coach-18,S-98,Married,4,3,42.15,Daal Chaawal,Mandi Ahmadabad,9:41,9:43,Male,8
2816,Shalimar Express,Ahmed Iqbal Butt,Female,24,Doctor,AC Business,3588,Coach-17,S-99,Single,1,2,27.94,Nihari,Rahim Yar Khan,19:32,19:34,Female,3
2817,Shalimar Express,Noor Rizwan Rana,Female,51,Police Officer,AC Business,6888,Coach-6,S-26,Single,2,1,46.72,Karahi,Padidan,1:04,1:06,Female,3
2818,Shalimar Express,Ayesha Saeed Chaudhry,Female,70,Student,AC Business,3588,Coach-6,S-50,Married,1,2,35.08,Karahi,Walton,6:32,6:34,Female,4
2819,Shalimar Express,Hira Rizwan Butt,Female,75,Lawyer,AC Business,3588,Coach-9,S-92,Single,2,3,47.38,Paratha Roll,Pakpattan,11:20,11:35,Female,5
2820,Shalimar Express,Bilal Asghar Chaudhry,Male,65,Businessperson,Economy,3588,Coach-4,S-78,Single,4,0,31.75,Biryani,Mailsi,14:25,14:30,Male,4
2821,Shalimar Express,Ahmed Asghar Bhatti,Female,69,Teacher,AC Business,6888,Coach-2,S-37,Married,1,4,14.04,Nihari,Raiwind Jn.,7:10,7:15,Female,6
2822,Shalimar Express,Zain Jamal Rana,Female,,Farmer,Economy,3588,Coach-8,S-51,Married,2,1,47.2,Nihari,Ghotki,21:21,21:23,Female,4
2823,Shalimar Express,Zain Nawaz Jutt,Male,61,Teacher,AC Business,6888,Coach-1,S-26,Single,3,1,27.83,Biryani,,21:21,21:23,Male,4
2824,Shalimar Express,Ali Saeed Siddiqui,Female,71,Police Officer,Economy,6888,Coach-12,S-81,Single,3,1,44.29,Paratha Roll,Tando Adam,3:56,3:58,Female,4
2825,Shalimar Express,Noor Asghar Sheikh,Female,69,Artist,AC Business,3588,Coach-19,S-29,Married,3,1,43.83,Karahi,Mandi Burewala,12:55,13:00,Female,5
2826,Shalimar Express,Fatima Asghar Chaudhry,Female,33,Artist,Economy,6888,Coach-20,S-51,Married,1,0,48.26,Nihari,Bhiria Road,0:44,0:46,Female,2
2827,Shalimar Express,Ali Rizwan Khan,Female,12,Lawyer,AC Business,3588,Coach-3,S-46,Single,4,4,43.57,Daal Chaawal,Samasata Jn.,16:40,17:05,Child,8
2828,Shalimar Express,Bilal Saeed Chaudhry,Female,5,Student,AC Business,6888,Coach-2,S-51,Married,4,0,26.62,Paratha Roll,Mandi Ahmadabad,9:41,9:43,Child,5
2829,Shalimar Express,Zain Nawaz Khan,Male,70,Soldier,AC Business,6888,Coach-16,S-26,Single,4,3,23.97,Paratha Roll,Kasur Jn.,7:40,8:20,Male,7
2830,Shalimar Express,Zain Rizwan Jutt,Female,39,Soldier,Economy,3588,Coach-4,S-68,Married,0,1,49.56,Biryani,Raiwind Jn.,7:10,7:15,Female,2
2831,Shalimar Express,Ayesha Murtaza Sheikh,Male,39,Teacher,Economy,3588,Coach-1,S-42,Married,4,1,12.58,Nihari,Mandi Burewala,12:55,13:00,Male,6
2832,Shalimar Express,Ayesha Fahad Chaudhry,Male,32,Teacher,AC Business,6888,Coach-10,S-39,Single,2,0,34.39,Nihari,Walton,6:32,6:34,Male,2
2833,Shalimar Express,Hira Saeed Siddiqui,Female,13,Doctor,Economy,3588,Coach-14,S-34,Single,0,2,44.96,Karahi,Shahdad Pur,3:27,3:29,Child,2
2834,Shalimar Express,Fatima Rizwan Rana,Male,8,Teacher,AC Business,3588,Coach-9,S-84,Married,1,2,13.26,Nihari,Dera Nawab Sahib,17:43,17:45,Child,4
